Index ,Manufacturer Part Number ,Manufacturer Name         ,Description                      ,Requested Quantity 1 ,Pack Quantity 1 ,Pack Type 1   ,Digi-Key Part Number 1 ,Unit Price 1 ,Extended Price 1 ,Minimum Order Quantity 1 ,Datasheet                                                                                              ,Reference Designator
1     ,PH1-10-UA                ,Adam Tech                 ,CONN HEADER VERT 10POS 2.54MM    ,6                    ,6               ,Bag           ,2057-PH1-10-UA-ND      ,0.25000      ,$1.50            ,1                        ,https://app.adam-tech.com/products/download/data_sheet/201605/ph1-xx-ua-data-sheet.pdf                 ,DUE
2     ,0686F1000-01             ,Bel Fuse Inc.             ,FUSE BRD MNT 1A 32VAC 63VDC 0603 ,2                    ,                ,              ,                       ,             ,                 ,                         ,https://belfuse.com/resources/datasheets/circuitprotection/ds-cp-c2f-series.pdf                        ,"F1, F2"
3     ,CL31B106KAHSFNE          ,Samsung Electro-Mechanics ,CAP CER 10UF 25V X7R 1206        ,2                    ,2               ,Cut Tape (CT) ,1276-3101-1-ND         ,0.52000      ,$1.04            ,1                        ,http://www.samsungsem.com/kr/support/product-search/mlcc/CL31B106KAHSFNE.jsp                           ,"C1, C2"
4     ,CZRB5359B-HF             ,Comchip Technology        ,DIODE ZENER 24V 5W DO214AA       ,1                    ,1               ,Cut Tape (CT) ,641-1811-1-ND          ,0.85000      ,$0.85            ,1                        ,https://www.comchiptech.com/admin/files/product/CZRB5338B-HF Thru111480. CZRB5388B-HF RevA.pdf         ,D1
5     ,DDZ12C-7                 ,Diodes Incorporated       ,DIODE ZENER 12V 500MW SOD123     ,1                    ,1               ,Cut Tape (CT) ,DDZ12C-7DICT-ND        ,0.58000      ,$0.58            ,1                        ,https://www.diodes.com/assets/Datasheets/DDZ5V1B-DDZ43.pdf                                             ,D2
6     ,"PLVA650A,215"           ,Nexperia USA Inc.         ,DIODE ZENER 5V 250MW TO236AB     ,2                    ,2               ,Cut Tape (CT) ,1727-5167-1-ND         ,0.56000      ,$1.12            ,1                        ,https://assets.nexperia.com/documents/data-sheet/PLVA6XXA_SERIES.pdf                                   ,"D3, D4"
7     ,SI01P10-TP               ,Micro Commercial Co       ,MOSFET P-CH 100V 1A SOT23        ,2                    ,2               ,Cut Tape (CT) ,353-SI01P10-TPCT-ND    ,0.56000      ,$1.12            ,1                        ,https://www.mccsemi.com/pdf/Products/SI01P10(SOT-23).pdf                                               ,"Q1, Q2"
8     ,RC0603FR-0710KL          ,YAGEO                     ,RES 10K OHM 1% 1/10W 0603        ,2                    ,2               ,Cut Tape (CT) ,311-10.0KHRCT-ND       ,0.15000      ,$0.30            ,1                        ,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf ,"R5, R6"
9     ,RC0603FR-07150RL         ,YAGEO                     ,RES 150 OHM 1% 1/10W 0603        ,4                    ,4               ,Cut Tape (CT) ,311-150HRCT-ND         ,0.15000      ,$0.60            ,1                        ,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf ,"R1, R2, R3, R4"
10    ,RC0603FR-0715RL          ,YAGEO                     ,RES 15 OHM 1% 1/10W 0603         ,4                    ,4               ,Cut Tape (CT) ,311-15.0HRCT-ND        ,0.15000      ,$0.60            ,1                        ,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf ,"R7, R8, R9, R10"
11    ,5055671071               ,Molex                     ,CONN HEADER SMD R/A 10POS 1.25MM ,1                    ,1               ,Cut Tape (CT) ,WM17155CT-ND           ,2.02000      ,$2.02            ,1                        ,http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-4888.pdf                   ,J8
12    ,5055670471               ,Molex                     ,CONN HEADER SMD R/A 4POS 1.25MM  ,4                    ,4               ,Cut Tape (CT) ,WM17040CT-ND           ,1.29000      ,$5.16            ,1                        ,http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-4888.pdf                   ,"J3, J4, J5, J6"
13    ,5055670271               ,Molex                     ,CONN HEADER SMD R/A 2POS 1.25MM  ,2                    ,2               ,Cut Tape (CT) ,WM17038CT-ND           ,1.18000      ,$2.36            ,1                        ,https://www.molex.com/pdm_docs/ps/5055650000-000.pdf                                                   ,"J1, J2"
14    ,5054311200               ,Molex                     ,MICRO-LOCK PLUS CRIMP TERM 26-30 ,30                   ,30              ,Cut Tape (CT) ,900-5054311200CT-ND    ,0.36100      ,$10.83           ,1                        ,https://www.molex.com/webdocs/datasheets/pdf/en-us/5054311200_CRIMP_TERMINALS.pdf                      ,
15    ,5055650201               ,Molex                     ,CONN RCPT HSG 2POS 1.25MM        ,2                    ,2               ,Bag           ,WM17043-ND             ,0.41000      ,$0.82            ,1                        ,https://www.molex.com/pdm_docs/pk/5055659200-200.pdf                                                   ,
16    ,5055650401               ,Molex                     ,CONN RCPT HSG 4POS 1.25MM        ,4                    ,4               ,Bag           ,WM17045-ND             ,0.39000      ,$1.56            ,1                        ,https://www.molex.com/pdm_docs/ps/5055650000-000.pdf                                                   ,
17    ,5055651001               ,Molex                     ,CONN RCPT HSG 1.25MM BLK         ,1                    ,1               ,Bag           ,WM17154-ND             ,0.57000      ,$0.57            ,1                        ,https://www.molex.com/pdm_docs/ps/5055650000-000.pdf                                                   ,
18    ,M80-4861005              ,Harwin Inc.               ,CONN RCPT 10POS CRIMP 24-28AWG   ,1                    ,1               ,Bulk          ,952-2073-ND            ,18.03000     ,$18.03           ,1                        ,https://cdn.harwin.com/pdfs/C005XX_M80_and_M83_Datamate_Series_Connectors.pdf                          ,
19    ,M80-0130005              ,Harwin Inc.               ,CONN SOCKET 24-28AWG CRIMP GOLD  ,10                   ,10              ,Bulk          ,952-1048-ND            ,0.98400      ,$9.84            ,1                        ,https://cdn.harwin.com/pdfs/C005XX_M80_and_M83_Datamate_Series_Connectors.pdf                          ,
